INDEX;NAME;SHIRTNAME;JAPANESE PLAYER NAME;SPACING;COMMENTARY;AGE;NATIONALITY;FOOT;WEIGHT;HEIGHT;FORM;WEAK FOOT ACCURACY;WEAK FOOT FREQUENCY;INJURY TOLERANCE;GROWTH TYPE;MARKET PRICE;GK 0;SW 1;CB 2;LB 3;RB 4;DMF 5;CMF 6;LMF 7;RMF 8;AMF 9;LWF 10;RWF 11;SS 12;CF 13;POSITION;ATTACK;DEFENCE;HEADER ACCURACY;DRIBBLE ACCURACY;SHORT PASS ACCURACY;SHORT PASS SPEED;LONG PASS ACCURACY;LONG PASS SPEED;SHOT ACCURACY;PLACE KICKING;SWERVE;BALL CONTROLL;GOAL KEEPING SKILLS;RESPONSE;EXPLOSIVE POWER;DRIBBLE SPEED;TOP SPEED;BODY BALANCE;STAMINA;KICKING POWER;JUMP;TENACITY;TEAMWORK;S01 1-TOUCH PLAY;S02 OUTSIDE CURVE;S03 LONG THROW;S04 SUPER-SUB;S05 SPEED MERCHANT;S06 LONG RANGE DRIVE;S07 SHOULDER FEINT SKILLS;S08 TURNING SKILLS;S09 ROULETTE SKILLS;S10 FLIP FLAP SKILLS;S11 FLICKING SKILLS;S12 SCISSORS SKILLS;S13 STEP ON SKILLS;S14 DEFT TOUCH SKILLS;S15 KNUCKLE SHOT;S16 JUMPING VOLLEY;S17 SCISSOR KICK;S18 HEEL FLICK;S19 WEIGHTED PASS;S20 DOUBLE TOUCH;S21 RUN AROUND;S22 SOMBRERO;S23 180 DRAG;S24 LUNGING TACKLE;S25 DIVING HEADER;S26 GK LONG THROW;P01 CLASSIC NO.10;P02 ANCHOR MAN;P03 TRICKSTER;P04 DARTING RUN;P05 MAZING RUN;P06 PINPOINT PASS;P07 EARLY CROSS;P08 BOX TO BOX;P09 INCISIVE RUN;P10 LONG RANGER;P11 ENFORCER;P12 GOAL POACHER;P13 DUMMY RUNNER;P14 FREE ROAMING;P15 TALISMAN;P16 FOX IN THE BOX;P17 OFFENSIVE SIDEBACK;P18 TRACK BACK;ATTACK AWARENESS;DEFENCE AWARENESS;SKIN COLOR;SKIN TEXTURE;FACE MODE;LINKED FACE;FACE SLOT;LINKED HAIR;HAIR SLOT;BOOTS;UNTUCKED SHIRT;TIGHT KIT;GLOVES;DRIBBLE STYLE;FREE KICK STYLE;PENALTY KICK STYLE;DROP KICK STYLE;GOAL CELEBRATION STYLE #1;GOAL CELEBRATION STYLE #2;CLUB TEAM;NUMBER;NATIONAL TEAM
37346;KARACAN;KARACAN;?????;2;0;23;Turkey;R;67;175;5;5;5;A;52;1;0;0;0;0;1;1;1;0;1;1;0;0;0;0;CMF;65;65;75;82;76;75;75;74;66;70;75;85;50;82;80;76;76;75;83;78;83;74;75;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;Default;0;131;0;4405;25;0;0;0;1;1;1;1;0;0;BERKSHIRE BLUES;4;
37356;CASADO;CASADO;???;2;425;26;Spain;L;70;173;4;4;4;A;22;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;LB;67;66;69;73;69;69;73;73;58;63;68;73;50;69;76;75;78;74;81;73;74;68;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;1;Default;0;131;0;4526;26;0;0;0;1;1;1;1;0;0;RAYO VALLECANO;3;
37358;EMILIO NSUÉ;EMILIO NSUE;????;2;760;23;Spain;R;77;181;4;5;5;A;4;2;0;0;0;0;1;0;0;1;1;0;0;0;1;1;SS;76;43;67;79;73;73;75;77;70;72;74;79;50;76;82;83;83;77;81;79;73;67;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;1;Default;0;131;0;4404;27;0;0;0;1;1;1;1;0;0;RCD MALLORCA;8;
37363;PISCU;PISCU;???;2;1982;25;Spain;R;77;184;3;5;5;B;132;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;52;75;73;69;73;71;68;72;56;54;52;70;50;77;73;68;75;77;75;71;78;66;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;Default;0;131;0;4238;18;0;0;0;1;1;1;1;0;0;LANCASHIRE ATHLETIC;24;
37373;CAMACHO;CAMACHO;?????;2;389;22;Spain;R;75;182;5;5;5;B;247;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;DMF;63;68;75;75;76;76;75;76;64;66;68;76;50;79;75;72;78;81;84;78;83;70;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4228;1;0;0;0;1;1;1;1;0;0;MÁLAGA CF;6;
37375;KOIKILI;KOIKILI;????;2;1359;31;Spain;L;68;168;5;4;4;A;8;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;LB;67;67;67;74;69;70;73;76;58;61;64;70;50;73;77;76;79;75;80;77;71;72;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4533;25;1;0;0;2;1;1;1;0;0;ATHLETIC CLUB;12;
37377;A. FERNÁNDEZ;A. FERNANDEZ;????? ???????;2;135;25;Spain;R;86;184;5;4;4;A;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;77;42;52;50;54;57;60;40;40;40;46;77;83;68;51;64;79;60;77;78;68;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;Default;0;131;0;4402;22;0;0;0;1;1;1;1;0;0;CA OSASUNA;25;
37379;ENRIQUE SOLA;ENRIQUE SOLA;???? ??;2;771;26;Spain;R;80;184;4;5;5;B;3;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;CF;76;38;81;77;72;70;73;73;76;58;56;76;50;77;76;77;81;81;75;78;84;68;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4454;23;0;0;0;1;1;1;1;0;0;CA OSASUNA;7;
37383;IBORRA;IBORRA;????;2;1099;24;Spain;R;76;190;5;5;6;A;65;2;0;0;0;0;0;1;1;0;0;1;0;0;1;1;CMF;68;64;72;74;77;80;77;80;69;64;65;76;50;74;73;76;76;81;79;81;74;69;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;Default;0;131;0;4414;27;0;0;0;1;1;1;1;0;0;LEVANTE UD;10;
37387;GUILHERME S.;GUILHERME;????? ????;2;0;24;Brazil;L;70;173;4;4;4;B;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;LB;69;53;65;78;71;69;74;73;67;68;66;75;50;67;80;82;80;69;76;79;74;68;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;6;1;Default;0;131;0;4402;26;0;0;0;1;1;1;1;0;0;FIGUEIRENSE;6;
37388;SERGIO ASENJO;SERGIO ASENJO;???? ????;2;2221;23;Spain;R;85;189;4;4;4;C;54;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;82;45;53;52;55;62;65;40;40;40;52;83;84;70;52;67;78;57;77;80;67;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;Special;1;1537;1;5612;1;0;0;0;1;1;1;1;0;0;AT. MADRID;25;
37390;JESÚS RUEDA;JESUS;???? ???;2;0;25;Spain;R;78;181;5;5;5;A;58;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;CB;58;70;71;73;73;73;72;72;58;60;60;72;50;74;73;69;74;76;77;73;74;70;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;Default;0;131;0;4414;24;0;0;0;1;1;1;1;0;0;REAL VALLADOLID;6;
37394;AQUINO;AQUINO;???;2;0;22;Spain;R;77;178;4;6;6;A;42;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;SS;71;35;67;80;69;69;58;69;66;63;63;73;50;69;82;81;82;70;73;70;67;67;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4318;27;0;0;0;1;1;1;1;0;0;REAL VALLADOLID;23;
37397;CHARVET;CHARVET;?????;2;0;24;France;R;77;179;4;5;5;A;51;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;54;65;70;64;65;64;67;68;58;52;53;68;50;76;73;67;74;74;74;72;72;64;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;Default;0;131;0;4308;22;0;0;0;1;1;1;1;0;0;AC AJACCIO;5;
37398;MANGANE;MANGANE;????;2;1547;29;Senegal;R;90;193;5;5;4;B;48;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;CB;61;78;77;73;68;65;72;70;68;71;69;72;50;76;72;78;83;85;76;81;82;78;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;6;1;Default;0;131;0;4320;18;1;0;0;1;1;1;1;0;0;STADE RENNAIS FC;5;
37401;ELDERSON;ELDERSON;??????;2;741;24;Nigeria;L;76;189;5;4;4;B;116;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;LB;71;64;72;78;68;70;75;78;72;65;68;73;50;75;76;83;84;82;83;83;83;68;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;6;1;Default;0;131;0;4394;18;1;0;0;1;1;1;1;0;0;S.C. BRAGA;20;
37403;MVILA;MVILA;?????;2;1771;22;France;R;80;182;7;5;5;A;127;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;CMF;68;79;75;72;78;76;82;76;75;67;64;76;50;83;75;80;83;83;86;83;83;76;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;4;1;Special;1;769;1;4844;5;1;0;0;1;1;1;1;0;0;STADE RENNAIS FC;17;FRANÇA
37405;A. TRAORÉ;A. TRAORE;???? ????;2;7;24;Mali;R;79;180;4;5;5;A;51;2;0;0;0;0;0;0;1;0;1;1;0;1;0;0;RMF;70;58;66;82;67;68;73;77;69;75;74;75;50;68;78;78;82;73;75;75;75;65;67;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;6;1;Default;0;131;0;4207;19;0;0;1;1;1;1;1;0;0;GIRONDINS DE BORDEAUX;24;
37414;PRIVAT;PRIVAT;????;2;0;23;France;R;83;186;4;5;5;A;54;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CF;73;32;70;78;71;67;67;69;70;63;58;78;50;77;72;76;78;83;76;80;82;66;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;5;1;Default;0;131;0;4211;28;0;0;0;1;1;1;1;0;0;FC SOCHAUX-MONTBÉLIARD;9;
37416;CAPOUE;CAPOUE;????;2;399;24;France;R;80;189;6;5;5;A;100;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;DMF;64;78;76;76;74;79;75;83;65;68;60;73;50;80;67;81;76;86;78;83;82;76;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;1;Default;0;131;0;4393;19;1;0;1;1;1;1;1;0;0;TOULOUSE FC;29;
37418;RAFAEL MOURA;RAFAEL MOURA;????? ???;2;2024;29;Brazil;R;91;186;4;5;5;A;53;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CF;77;40;83;80;71;68;64;66;76;63;60;81;50;80;74;72;78;81;77;75;74;66;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;1;Default;0;131;0;4258;20;0;0;0;1;1;1;1;0;0;FLUMINENSE FC;10;
37419;J. MULENGA;MULENGA;????? ????;2;0;28;Zambia;R;86;186;4;5;5;A;107;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;CF;72;40;71;72;66;73;65;72;66;50;50;73;50;66;68;77;84;85;75;79;85;65;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;6;1;Default;0;131;0;4441;23;0;0;0;1;1;1;1;0;0;FC UTRECHT;8;
37422;PJANIC;PJANIC;?????;2;1986;22;Bosnia and Herzegovina;R;68;180;6;5;5;B;193;4;0;0;0;0;0;0;1;1;1;1;0;0;0;0;AMF;79;48;67;86;88;82;86;83;75;85;83;85;50;75;86;83;76;69;83;80;72;72;78;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;2;1;1;Special;1;601;1;4676;1;1;0;1;1;1;1;1;0;0;A.S. ROMA;15;
37428;DELLE;DELLE;??;2;0;22;France;R;90;189;4;4;4;A;48;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;73;55;54;53;52;56;59;45;45;45;50;78;80;70;51;64;84;58;78;75;66;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4387;28;0;0;0;1;1;1;1;0;0;OGC NICE;30;
37429;VAN DER HEIJDEN;VAN DER HEIJDEN;??? ?? ????;2;0;24;Netherlands;L;83;185;4;4;4;A;48;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;CMF;63;69;73;74;78;80;84;78;66;78;78;78;50;76;71;70;75;81;78;82;72;73;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4308;28;0;0;0;1;1;1;1;0;0;VITESSE;4;
37430;DE JONG;DE JONG;??? ? ???;2;2248;23;Netherlands;R;76;185;4;6;5;B;54;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;AMF;78;51;80;80;80;79;76;75;78;73;73;89;50;78;74;76;76;77;75;82;75;73;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;1030;1;5105;1;1;0;0;1;1;1;1;0;0;AJAX;10;
37431;GOOSSENS;GOOSSENS;?????;2;0;24;Netherlands;L;68;174;4;4;4;A;3;0;0;0;0;1;0;1;1;1;0;1;1;0;1;0;LMF;69;56;62;78;73;66;80;76;66;74;74;76;50;72;77;78;79;73;77;83;73;65;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4414;16;0;0;0;1;1;1;1;0;0;FEYENOORD;20;
37432;DZSUDZSÁK;DZSUDZSAK;??????;2;703;25;Hungary;L;72;179;5;5;4;A;73;4;0;0;0;0;0;0;0;1;1;0;1;1;1;0;LWF;79;40;65;85;73;70;80;83;71;84;80;79;50;66;84;86;83;73;75;89;67;66;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;698;1;4773;21;1;0;0;4;1;1;1;0;0;;7;HUNGRIA
37433;FER;FER;???;2;0;22;Netherlands;R;79;188;4;7;6;B;52;2;0;0;1;1;1;1;1;1;1;1;0;0;0;0;CMF;70;65;73;78;77;77;76;78;64;66;65;82;50;72;76;80;82;85;82;79;78;65;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;5;1;Default;0;131;0;4212;21;1;0;0;1;1;1;1;0;0;FC TWENTE;8;
37434;M. SCHET;SCHET;???;2;0;24;Netherlands;R;70;176;4;3;4;A;42;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;RWF;71;43;67;75;66;66;72;74;68;67;67;68;50;69;78;84;83;73;74;74;77;64;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;4;1;Default;0;131;0;4208;0;0;0;0;1;1;1;1;0;0;FC GRONINGEN;19;
37435;VELDMATE;VELDMATE;??????;2;0;23;Netherlands;L;77;187;3;4;4;A;48;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;CB;51;68;65;60;60;63;64;63;50;50;53;64;50;70;67;61;70;75;72;68;76;61;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4319;18;0;0;0;1;1;1;1;0;0;HERACLES ALMELO;4;
37436;MATAVŽ;MATAVZ;?????;2;1619;23;Slovenia;R;74;188;4;5;5;A;48;3;0;0;0;0;0;0;0;0;0;0;1;1;1;1;CF;79;33;77;77;71;68;69;65;80;63;62;78;50;83;79;76;81;78;75;75;76;70;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;2;1;1;Default;0;131;0;4372;3;0;0;0;1;1;1;1;0;0;PSV;9;ESLOVÉNIA
37437;MORENO;MORENO;???;2;1740;24;Mexico;L;80;184;5;4;4;A;42;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;CB;54;77;68;76;75;74;73;70;63;51;56;78;50;75;75;71;74;79;78;75;73;72;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;Default;0;131;0;4414;4;0;0;0;1;1;1;1;0;0;RCD ESPANYOL;15;
37438;VEJINOVIC;VEJINOVIC;????????;2;0;22;Netherlands;R;72;186;4;4;4;A;68;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;CMF;70;63;67;84;78;73;75;74;68;77;78;86;50;70;75;74;77;75;75;78;68;64;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4535;19;0;0;0;3;1;1;1;0;0;HERACLES ALMELO;10;
37439;SIMON POULSEN;S. B. POULSEN;??? ?????;2;2260;27;Denmark;L;76;184;4;4;4;B;55;3;0;0;0;1;0;0;0;1;0;0;1;0;0;0;LB;73;61;68;77;71;76;73;79;64;62;66;74;50;70;78;84;85;83;82;82;75;67;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;4;1;Special;1;979;1;5054;25;1;0;0;1;1;1;1;0;0;;5;DINAMARCA
37445;DUPLAN;DUPLAN;?????;2;0;29;France;R;74;177;5;5;5;A;26;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;RWF;74;40;71;82;71;74;73;75;70;69;73;78;50;69;78;80;79;76;76;75;76;65;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4515;0;0;0;0;1;1;1;1;0;0;FC UTRECHT;7;
37446;CLAUDEMIR;CLAUDEMIR;???????;2;480;24;Brazil;R;70;184;5;5;5;A;53;2;0;0;0;0;0;1;1;1;1;1;0;0;0;0;CMF;72;65;75;78;79;76;77;78;65;67;68;79;50;79;73;73;80;77;84;76;72;70;75;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;Default;0;131;0;4414;28;0;0;0;1;1;1;1;0;0;F.C. COPENHAGEN;6;
37448;BÜTTNER;BUTTNER;?????;2;0;23;Netherlands;L;75;174;4;5;4;A;3;0;0;0;0;1;1;0;1;1;1;0;1;1;1;0;LMF;73;58;64;84;71;74;75;81;66;72;72;79;50;70;80;78;77;77;83;85;71;65;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;Default;0;131;0;4227;18;0;0;0;1;1;1;1;0;0;VITESSE;5;
37449;RENIERS;RENIERS;?????;2;0;24;Netherlands;R;79;179;3;5;5;A;65;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;RWF;65;35;61;70;63;60;63;65;60;56;63;70;50;65;69;72;75;68;71;70;70;60;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4372;0;0;0;0;1;1;1;1;0;0;PEC ZWOLLE;18;
37456;DOUGLAS;DOUGLAS;?????;2;685;24;Brazil;R;80;192;5;5;5;A;53;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;CB;59;77;77;67;65;77;63;66;58;55;56;66;50;73;68;72;81;87;76;79;73;66;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;1;Default;0;131;0;4211;23;1;0;0;1;1;1;1;0;0;FC TWENTE;19;
37469;IAKOVENKO;IAKOVENKO;??????;2;0;25;Ukraine;R;75;183;4;5;5;A;58;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;AMF;69;45;66;76;74;67;73;75;67;65;65;76;50;70;76;75;76;73;76;77;73;65;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4346;18;0;0;0;1;1;1;1;0;0;RSC ANDERLECHT;17;
37470;GILLET;GILLET;??;2;0;28;Belgium;R;77;186;5;5;5;B;68;3;0;0;0;0;1;0;1;0;1;1;0;1;0;0;RMF;74;62;77;74;74;72;71;74;74;63;64;74;50;80;74;75;79;74;85;79;78;74;80;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;3;1;1;Default;0;131;0;4425;3;0;0;0;1;1;1;1;0;0;RSC ANDERLECHT;30;BÉLGICA
37477;S. NAISMITH;NAISMITH;?????? ?????;2;2307;26;Scotland;R;72;178;5;5;5;C;74;3;0;0;0;0;0;0;1;1;1;1;1;1;1;1;SS;73;47;71;78;75;74;73;74;73;68;75;75;50;79;80;82;81;75;82;82;81;75;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;1807;1;5882;23;0;0;0;1;1;1;1;0;0;MERSEYSIDE BLUE;14;ESCÓCIA
37488;PARSHIVLYUK;PARSHIVLYUK;???????;2;0;23;Russia;R;75;180;5;6;6;B;52;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;RB;67;64;67;76;72;70;71;72;61;58;63;75;50;74;74;76;77;76;82;73;76;70;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4282;6;0;0;0;1;1;1;1;0;0;FC SPARTAK MOSCOW;15;
37496;TAXTSIDIS;TAXTSIDIS;?????;2;0;21;Greece;L;86;191;4;3;3;A;58;2;0;0;0;0;0;1;1;1;0;1;0;0;1;0;AMF;68;60;72;77;80;75;78;75;65;73;75;80;50;75;67;73;78;84;82;79;69;64;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4414;26;0;0;0;1;1;1;1;0;0;GENOA CFC;17;
37499;HAKAN BALTA;HAKAN BALTA;??? ???;2;1030;29;Turkey;L;80;184;7;5;5;A;97;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;LB;63;76;78;74;75;76;75;75;64;70;72;73;50;77;72;73;76;82;83;83;76;80;80;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;1;Special;1;1211;1;5286;26;0;0;0;1;1;1;1;0;0;GALATASARAY A.S.;22;
37505;GAITAN;GAITAN;????;2;910;24;Argentina;L;68;173;5;6;3;A;87;3;0;0;0;0;0;0;0;1;1;1;0;0;1;0;LMF;82;46;69;89;79;82;83;84;79;80;83;86;50;85;88;86;79;73;84;79;78;72;78;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;3;1;Special;1;1825;1;5900;4;1;0;0;2;1;1;1;0;0;SL BENFICA;20;
