INDEX;SPACING;COMMENTARY;AGE;NATIONALITY;FOOT;WEIGHT;HEIGHT;FORM;WEAK FOOT ACCURACY;WEAK FOOT FREQUENCY;INJURY TOLERANCE;GROWTH TYPE;MARKET PRICE;GK 0;SW 1;CB 2;LB 3;RB 4;DMF 5;CMF 6;LMF 7;RMF 8;AMF 9;LWF 10;RWF 11;SS 12;CF 13;POSITION;ATTACK;DEFENCE;HEADER ACCURACY;DRIBBLE ACCURACY;SHORT PASS ACCURACY;SHORT PASS SPEED;LONG PASS ACCURACY;LONG PASS SPEED;SHOT ACCURACY;PLACE KICKING;SWERVE;BALL CONTROLL;GOAL KEEPING SKILLS;RESPONSE;EXPLOSIVE POWER;DRIBBLE SPEED;TOP SPEED;BODY BALANCE;STAMINA;KICKING POWER;JUMP;TENACITY;TEAMWORK;S01 1-TOUCH PLAY;S02 OUTSIDE CURVE;S03 LONG THROW;S04 SUPER-SUB;S05 SPEED MERCHANT;S06 LONG RANGE DRIVE;S07 SHOULDER FEINT SKILLS;S08 TURNING SKILLS;S09 ROULETTE SKILLS;S10 FLIP FLAP SKILLS;S11 FLICKING SKILLS;S12 SCISSORS SKILLS;S13 STEP ON SKILLS;S14 DEFT TOUCH SKILLS;S15 KNUCKLE SHOT;S16 JUMPING VOLLEY;S17 SCISSOR KICK;S18 HEEL FLICK;S19 WEIGHTED PASS;S20 DOUBLE TOUCH;S21 RUN AROUND;S22 SOMBRERO;S23 180 DRAG;S24 LUNGING TACKLE;S25 DIVING HEADER;S26 GK LONG THROW;P01 CLASSIC NO.10;P02 ANCHOR MAN;P03 TRICKSTER;P04 DARTING RUN;P05 MAZING RUN;P06 PINPOINT PASS;P07 EARLY CROSS;P08 BOX TO BOX;P09 INCISIVE RUN;P10 LONG RANGER;P11 ENFORCER;P12 GOAL POACHER;P13 DUMMY RUNNER;P14 FREE ROAMING;P15 TALISMAN;P16 FOX IN THE BOX;P17 OFFENSIVE SIDEBACK;P18 TRACK BACK;ATTACK AWARENESS;DEFENCE AWARENESS;SKIN COLOR;SKIN TEXTURE;FACE MODE;LINKED FACE;FACE SLOT;LINKED HAIR;HAIR SLOT;BOOTS;UNTUCKED SHIRT;TIGHT KIT;GLOVES;DRIBBLE STYLE;FREE KICK STYLE;PENALTY KICK STYLE;DROP KICK STYLE;GOAL CELEBRATION STYLE #1;GOAL CELEBRATION STYLE #2;CLUB TEAM;NUMBER;NATIONAL TEAM
37036;2;1516;24;Senegal;L;75;183;6;6;5;A;68;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;LB;72;68;68;76;73;74;74;79;75;69;63;77;50;75;82;83;85;78;85;83;78;68;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3;3;6;1;Default;0;131;0;4394;26;1;0;0;1;1;1;1;0;0;TOULOUSE FC;12;
37039;2;2168;26;Colombia;R;82;182;7;5;5;A;56;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;DMF;71;75;72;78;79;76;78;75;64;65;63;76;50;79;75;78;81;79;82;78;82;72;72;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;6;1;Default;0;131;0;4209;22;1;0;1;1;1;1;1;0;0;;6;COLÔMBIA
37040;2;0;24;France;L;86;184;3;5;4;A;63;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;CB;55;67;75;72;71;67;67;66;58;62;63;72;50;76;73;76;81;83;78;74;77;66;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;6;1;Default;0;131;0;4218;26;0;0;0;1;1;1;1;0;0;OLYMPIACOS FC;27;
37041;2;806;23;France;R;67;174;3;5;5;A;60;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;SS;73;42;66;80;74;72;72;70;76;75;74;78;50;76;84;82;75;65;76;73;76;67;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4427;23;0;0;0;1;1;1;1;0;0;FC LORIENT;29;
37047;2;0;25;Mali;R;84;187;4;4;4;A;63;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;71;55;52;50;52;55;56;45;45;45;49;76;82;64;50;69;83;60;77;78;63;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;1;Default;0;131;0;4208;18;0;0;0;1;1;1;1;0;0;AC AJACCIO;16;
37052;2;0;24;Serbia;R;78;185;5;3;3;A;53;2;0;0;0;0;0;1;1;1;1;0;0;0;0;0;CMF;66;65;72;75;74;77;73;70;64;67;68;75;50;77;75;73;75;80;83;77;73;74;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;1;1;Default;0;131;0;4317;27;0;0;0;1;1;1;1;0;0;OLYMPIACOS FC;8;
37056;2;0;26;France;R;68;172;4;6;6;A;3;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;SS;73;41;75;76;73;76;73;76;73;61;68;76;50;82;76;80;75;70;76;72;75;70;75;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4300;23;0;0;0;1;1;1;1;0;0;STADE DE REIMS;11;
37058;2;2056;28;Senegal;R;64;180;6;5;4;A;48;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;DMF;67;73;71;76;73;69;72;72;66;64;61;70;50;78;76;80;83;83;78;81;75;72;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;6;1;Default;0;131;0;4208;28;1;0;1;1;1;1;1;0;0;VALENCIENNES FC;12;
37065;2;0;22;France;R;75;181;4;5;5;A;3;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;DMF;68;64;70;83;78;78;80;81;68;70;68;80;50;72;67;78;70;72;78;80;73;68;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4314;28;0;0;0;1;1;1;1;0;0;SOTON;4;
37066;2;0;24;France;L;63;162;4;4;4;A;68;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;DMF;68;67;63;75;75;70;81;82;63;77;79;76;50;72;70;76;75;73;76;69;72;68;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2;6;1;Default;0;131;0;4506;28;0;0;0;1;1;1;1;0;0;ESTAC TROYES;29;
37070;2;0;25;France;R;82;190;6;5;5;A;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;54;75;79;78;75;70;78;76;55;56;55;78;50;68;66;73;72;84;74;79;76;72;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4318;24;0;0;0;1;1;1;1;0;0;STADE DE REIMS;25;
37077;2;0;23;England;R;73;182;3;5;5;C;55;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;RB;56;68;71;70;74;74;77;76;58;60;65;73;50;75;73;73;74;74;74;73;73;75;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4207;22;0;0;0;1;1;1;1;0;0;LONDON FC;27;
37078;2;2236;24;England;R;76;191;6;5;5;B;68;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;53;81;86;67;67;73;69;74;56;57;57;67;50;78;70;66;76;85;77;77;83;78;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Special;1;440;1;4515;21;1;0;0;1;1;1;1;0;0;THE POTTERIES;17;
37082;2;0;21;England;L;78;188;4;4;4;A;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;LB;60;63;73;70;67;73;74;77;60;60;63;72;50;72;70;68;75;76;77;73;76;65;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;Default;0;131;0;4353;27;0;0;0;1;1;1;1;0;0;WEST LONDON WHITE;28;
37086;2;1326;22;England;R;80;191;5;4;4;B;26;2;0;0;1;1;1;0;1;1;1;0;0;0;0;0;RB;63;73;76;73;73;72;73;78;61;62;69;71;50;75;74;77;81;80;82;78;75;70;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Special;1;1843;1;5918;22;1;0;0;1;1;1;1;0;0;MERSEYSIDE RED;34;INGLATERRA
37087;2;2289;23;England;R;70;168;4;4;4;B;87;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;CMF;66;67;71;73;78;82;77;79;66;70;68;73;50;80;76;72;74;75;85;83;75;75;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;1;1;Default;0;131;0;4415;18;0;0;0;1;1;1;1;0;0;MERSEYSIDE RED;20;
37091;2;0;23;Hungary;R;73;178;3;4;4;B;53;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;CF;72;36;75;78;77;68;69;67;70;71;66;78;50;77;78;81;77;76;76;79;74;63;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4308;23;0;0;0;1;1;1;1;0;0;RODA JC KERKRADE;9;HUNGRIA
37094;2;2316;23;England;L;76;188;5;6;6;A;74;4;0;0;0;0;0;0;0;0;0;0;1;1;1;1;CF;81;33;73;84;79;75;75;67;82;69;77;83;50;82;86;86;86;78;76;82;70;70;75;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;5;1;Special;1;648;1;4723;20;1;0;1;2;1;1;1;0;0;LONDON FC;23;
37095;2;934;26;Switzerland;R;70;183;6;5;5;B;26;3;0;0;0;1;0;1;1;1;0;1;0;0;0;0;CMF;66;71;73;76;75;72;75;72;63;75;72;76;50;80;77;73;78;78;85;76;72;75;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;6;1;Default;0;131;0;4394;26;1;0;0;1;1;1;1;0;0;SPORTING;86;SUÍÇA
37106;2;633;24;Argentina;L;70;180;5;6;3;B;76;5;0;0;0;0;0;0;1;1;1;1;1;1;1;0;RMF;83;50;63;86;85;73;82;81;80;77;81;84;50;77;85;87;83;76;84;80;74;72;77;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;3;1;Special;1;1401;1;5476;1;1;0;0;1;1;1;1;115;72;REAL MADRID;22;ARGENTINA
37109;2;374;24;Argentina;L;57;161;4;5;4;A;58;2;0;0;0;0;0;0;0;1;1;1;0;0;1;0;SS;72;40;57;86;79;65;76;69;68;77;82;86;50;71;88;85;75;70;77;74;75;64;68;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;1319;1;5394;26;0;0;0;1;1;1;1;0;0;MÁLAGA CF;20;
37117;2;0;24;Portugal;R;76;181;4;5;5;A;76;3;0;0;0;0;0;1;1;0;0;1;0;0;0;0;AMF;73;50;65;80;78;78;78;76;68;77;77;78;50;75;82;78;78;75;81;81;73;70;73;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4498;1;0;0;0;1;1;1;1;0;0;FC PORTO;7;
37118;2;0;24;Portugal;R;73;180;3;5;5;A;3;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;SS;70;38;78;82;76;67;73;65;74;69;68;80;50;64;75;70;74;78;72;70;82;56;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;1;Default;0;131;0;4271;19;0;0;0;1;1;1;1;0;0;CFR CLUJ;30;
37123;2;798;26;Argentina;L;77;179;4;4;4;B;3;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;LMF;71;46;65;83;73;76;82;79;68;76;82;81;50;73;81;83;79;75;77;77;70;68;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4526;19;1;0;1;1;8;1;1;0;0;CALCIO CATANIA;16;
37129;2;0;24;Albania;R;78;186;6;3;3;A;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;83;40;53;51;55;56;62;40;40;40;55;83;85;73;53;69;80;61;78;81;75;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4358;26;0;0;0;1;1;1;1;0;0;U.S.C. PALERMO;21;
37132;2;0;29;Italy;R;77;187;6;5;5;A;66;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;DMF;69;66;70;76;77;73;75;71;69;65;65;77;50;78;71;71;73;79;82;76;76;77;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;1;1;Default;0;131;0;4275;19;0;0;0;1;1;1;1;0;0;PESCARA;4;
37134;2;466;25;Italy;L;83;188;6;4;4;A;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;LB;56;75;75;72;66;70;72;73;57;62;65;68;50;76;73;73;74;81;79;77;80;71;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4233;22;0;0;0;1;1;1;1;0;0;BOLOGNA FC;21;
37136;2;0;22;Italy;L;78;181;5;5;4;A;3;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;AMF;70;52;72;80;77;75;81;75;69;72;75;82;50;73;77;76;75;76;80;76;75;68;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4384;27;0;0;0;1;2;1;1;0;0;U.S.C. PALERMO;28;
37138;2;0;26;Italy;L;78;178;4;4;5;A;58;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;LMF;72;46;67;78;73;75;81;81;70;70;77;76;50;73;77;78;79;78;79;80;75;70;70;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;2;3;1;Default;0;131;0;4268;25;0;0;0;1;2;1;1;0;0;ATALANTA B.C.;15;
37140;2;574;22;Italy;R;70;182;6;5;5;A;54;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;CB;55;75;73;70;67;71;70;71;53;60;69;70;50;76;74;73;77;76;80;75;77;67;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4272;18;0;0;0;1;1;1;1;0;0;TORINO F.C.;36;
37144;2;1639;28;Italy;R;80;183;5;5;6;A;52;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;CF;84;42;82;78;73;76;70;75;84;63;69;83;50;85;78;80;83;84;85;81;82;73;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;1;Special;1;1704;1;5779;1;1;0;0;1;1;1;1;0;0;JUVENTUS F.C.;32;
37147;2;0;24;Italy;R;64;171;5;6;6;A;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;CF;76;40;79;76;70;65;67;68;79;65;79;77;50;82;85;77;80;70;79;76;75;67;71;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4305;24;0;0;0;1;1;1;1;0;0;CAGLIARI CALCIO;8;
37148;2;0;28;Argentina;R;82;185;5;5;5;A;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CF;77;30;82;72;67;69;65;69;79;61;62;74;50;84;75;74;75;82;80;76;76;75;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4418;18;1;0;0;1;1;1;1;0;0;CAGLIARI CALCIO;9;
37149;2;0;28;Italy;R;70;175;6;5;5;A;3;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;CMF;68;66;73;76;74;74;74;73;66;70;73;76;50;78;78;77;79;74;84;77;75;76;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4229;22;1;0;0;1;1;1;1;0;0;BOLOGNA FC;13;
37151;2;0;29;Italy;L;75;180;6;3;3;A;22;4;0;0;0;0;0;0;0;1;1;1;0;0;1;0;SS;78;49;66;82;82;80;84;85;78;84;84;83;50;73;85;83;78;76;83;84;67;77;72;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;3;1;2;1;Special;1;1960;1;6035;23;1;0;0;1;4;1;1;0;0;BOLOGNA FC;23;ITÁLIA
37153;2;0;23;Italy;R;67;183;4;5;5;A;3;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;AMF;66;55;64;75;77;70;76;75;64;65;68;75;50;74;74;67;77;70;83;76;70;68;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4346;23;0;0;0;1;1;1;1;0;0;CALCIO CATANIA;23;
37155;2;392;32;Argentina;R;85;181;6;5;5;A;64;2;0;0;1;0;1;0;0;0;1;0;0;0;0;1;CB;60;80;82;73;72;76;75;77;67;63;65;74;50;84;76;78;79;85;80;82;84;78;77;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;1;Special;1;1876;1;5951;20;1;0;0;1;1;1;1;0;0;S.S.C. NAPOLI;14;ARGENTINA
37156;2;0;22;Italy;R;74;190;4;4;4;A;26;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;78;47;49;50;51;56;62;42;43;42;52;76;83;68;50;65;81;57;76;77;67;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4538;28;1;0;0;1;1;1;1;0;0;U.C. SAMPDORIA;44;
37157;2;0;23;Switzerland;R;69;185;5;5;5;A;48;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;53;76;75;72;70;71;72;71;62;67;63;71;50;77;72;70;75;78;80;84;77;73;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;131;0;4381;21;0;0;0;1;8;1;1;0;0;U.C. SAMPDORIA;35;
37158;2;0;25;Italy;R;70;184;5;5;5;A;3;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;CB;53;78;73;71;67;72;72;70;58;60;65;70;50;77;76;71;74;78;80;73;79;70;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;Default;0;131;0;4270;23;0;0;0;1;1;1;1;0;0;U.C. SAMPDORIA;6;
37159;2;0;23;Italy;R;77;182;5;5;5;A;3;3;0;0;0;0;0;1;1;0;0;1;0;0;0;0;CMF;72;67;71;82;82;79;83;75;68;75;77;82;50;76;76;75;75;76;83;76;75;74;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Special;1;1067;1;5142;1;0;0;1;1;1;1;1;0;0;U.C. SAMPDORIA;24;
37169;2;2139;25;Italy;L;77;184;4;4;4;A;68;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;LB;65;68;70;75;72;72;76;73;64;65;76;73;50;72;72;76;78;77;79;77;72;69;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4531;20;0;0;1;1;1;1;1;0;0;A.C. SIENA;14;
37171;2;961;25;Italy;R;59;164;6;6;6;B;87;5;0;0;0;0;0;0;0;1;1;1;1;1;1;0;SS;84;41;65;89;87;75;89;72;84;87;88;87;50;78;93;90;78;75;78;78;65;76;67;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;2;1;Special;1;1109;1;5184;8;1;0;0;3;2;1;1;0;0;JUVENTUS F.C.;10;ITÁLIA
37173;2;0;25;Italy;R;70;176;4;5;5;A;42;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;DMF;65;63;76;74;78;75;80;82;63;73;72;75;50;76;74;66;75;78;84;77;77;65;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4374;22;0;0;0;1;11;1;1;0;0;PARMA F.C.;24;
37181;2;922;28;Austria;R;76;183;5;5;5;A;68;2;0;0;1;1;1;0;0;1;1;0;0;0;0;0;RB;68;68;72;75;73;77;76;78;65;60;72;75;50;75;77;77;78;77;83;83;77;76;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;Default;0;131;0;4346;26;0;0;0;1;1;1;1;0;0;BOLOGNA FC;8;ÁUSTRIA
37185;2;982;28;Uruguay;L;76;177;4;4;4;B;58;3;0;0;0;0;0;0;0;1;1;1;1;1;1;0;LMF;77;44;63;82;75;74;78;81;73;77;80;82;50;71;83;78;77;74;79;84;73;68;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Default;0;131;0;4512;25;0;0;0;2;1;1;1;0;0;REAL SOCIEDAD;11;
37186;2;994;25;Spain;R;75;180;5;6;4;A;58;4;0;0;0;0;0;0;1;1;1;1;0;0;0;0;AMF;78;58;70;83;81;80;81;79;72;80;83;83;50;76;78;79;78;75;85;80;72;76;82;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;1538;1;5613;4;0;0;0;1;1;1;1;0;0;REAL MADRID;11;
37187;2;2325;24;Spain;R;68;179;4;5;5;A;58;2;0;0;0;0;0;0;1;1;1;1;0;0;0;0;AMF;74;45;65;82;77;74;79;78;71;80;81;80;50;72;81;81;81;71;78;74;68;69;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;1862;1;5937;25;0;0;0;1;1;1;1;0;0;ATHLETIC CLUB;14;
37191;2;0;24;France;R;82;187;3;5;5;A;84;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;CF;74;35;74;82;67;65;69;66;74;76;75;82;50;75;68;78;82;85;74;83;78;66;65;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;6;1;Default;0;131;0;4353;24;0;0;0;1;1;1;1;63;0;GIRONDINS DE BORDEAUX;22;
37193;2;0;22;Italy;R;78;186;4;4;4;A;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;76;43;50;50;51;53;59;40;41;42;51;76;82;75;55;69;81;60;74;82;66;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;1;Default;0;131;0;4327;18;0;0;0;1;1;1;1;0;0;TORINO F.C.;89;
